index,Country Code,Port Location,Port Name,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,lat_long,details
790,IND,Chennai,Port of Chennai,13.111111,80.300833,INMAA,Seaport,Large,"[13.111111, 80.300833]","Port of Chennai, Seaport - Large"
792,IND,Cochin (Kochi),Port of Cochin,9.967778,76.257222,INCOK,Seaport,Large,"[9.967778, 76.257222]","Port of Cochin, Seaport - Large"
803,IND,Jawaharlal Nehru,Nhava Sheva,18.951667,72.949722,INNSA,Seaport,Large,"[18.951667, 72.949722]","Nhava Sheva, Seaport - Large"
805,IND,Kandla,Port of Kandla,23.013611,70.225556,INIXY,Seaport,Large,"[23.013611, 70.225556]","Port of Kandla, Seaport - Large"
813,IND,Mumbai,Port of Mumbai,18.941944,72.885278,INBOM,Deepwater Seaport,Large,"[18.941944, 72.885278]","Port of Mumbai, Deepwater Seaport - Large"
818,IND,Paradip,Port of Paradip,20.270556,86.671111,INPRT,Seaport,Large,"[20.270556, 86.671111]","Port of Paradip, Seaport - Large"
835,IND,Visakhapatnam,Port of Visakhapatnam,17.693333,83.289444,INVTZ,Seaport,Large,"[17.693333, 83.289444]","Port of Visakhapatnam, Seaport - Large"
876,IDN,Jakarta,Port of Jakarta,-6.105556,106.860556,IDJKT,Seaport,Large,"[-6.105556, 106.860556]","Port of Jakarta, Seaport - Large"
936,IDN,Tanjung Priok,Port of Tanjung Priok,-6.101389,106.894444,IDTPP,Seaport,Large,"[-6.101389, 106.894444]","Port of Tanjung Priok, Seaport - Large"
951,IRN,Imam  Khomeini,Imam  Khomeini  Port,30.448611,49.075278,IRBKM,Seaport,Large,"[30.448611, 49.075278]","Imam  Khomeini  Port, Seaport - Large"
990,ITA,Genoa,Port of Genoa,44.404722,8.916389,ITGOA,Seaport,Large,"[44.404722, 8.916389]","Port of Genoa, Seaport - Large"
993,ITA,La Spezia,Port of La Spezia,44.087222,9.850556,ITSPE,Seaport,Large,"[44.087222, 9.850556]","Port of La Spezia, Seaport - Large"
994,ITA,Livorno,Port of Livorno,43.555833,10.303056,ITLIV,Seaport,Large,"[43.555833, 10.303056]","Port of Livorno, Seaport - Large"
995,ITA,Marghera,Porto Marghera,45.453056,12.244722,ITPMA,Seaport,Large,"[45.453056, 12.244722]","Porto Marghera, Seaport - Large"
1000,ITA,Napoli (Naples),Port of Napoli,40.836667,14.274167,ITNAP,Seaport,Large,"[40.836667, 14.274167]","Port of Napoli, Seaport - Large"
1024,ITA,Venezia (Venice),Port of Venice,45.4475,12.283056,ITVCE,Seaport,Large,"[45.4475, 12.283056]","Port of Venice, Seaport - Large"
1042,JPN,Chiba,Port of Chiba,35.562222,140.064444,JPCHB,Seaport,Very Large,"[35.562222, 140.064444]","Port of Chiba, Seaport - Very Large"
1046,JPN,Funabashi,Port of Funabashi,35.670278,139.981389,JPFNB,Seaport,Large,"[35.670278, 139.981389]","Port of Funabashi, Seaport - Large"
1051,JPN,Hakata,Port of Hakata,33.639167,130.386944,JPHTD,Seaport,Large,"[33.639167, 130.386944]","Port of Hakata, Seaport - Large"
1083,JPN,Kawasaki,Port of Kawasaki,35.506389,139.749722,JPKWS,Seaport,Very Large,"[35.506389, 139.749722]","Port of Kawasaki, Seaport - Very Large"
1085,JPN,Kinuura,Port of Kinuura,34.864722,136.951111,JPKNU,Seaport,Large,"[34.864722, 136.951111]","Port of Kinuura, Seaport - Large"
1087,JPN,Kisarazu,Port of Kisarazu,35.354444,139.856111,JPKZU,Seaport,Large,"[35.354444, 139.856111]","Port of Kisarazu, Seaport - Large"
1088,JPN,Kitakyushu,Port of Kitakyushu,33.9225,130.856667,JPKKJ,Seaport,Large,"[33.9225, 130.856667]","Port of Kitakyushu, Seaport - Large"
1089,JPN,Kobe,Port of Kobe,34.684167,135.240833,JPUKB,Seaport,Large,"[34.684167, 135.240833]","Port of Kobe, Seaport - Large"
1090,JPN,Kochi,Port of Kochi,33.524167,133.561111,JPKCZ,Deepwater Seaport,Very Large,"[33.524167, 133.561111]","Port of Kochi, Deepwater Seaport - Very Large"
1091,JPN,Kokura,Port of Kokura,33.908333,130.8775,JPKOK,Deepwater Seaport,Very Large,"[33.908333, 130.8775]","Port of Kokura, Deepwater Seaport - Very Large"
1109,JPN,Nagasaki,Port of Nagasaki,32.740278,129.865,JPNGS,Seaport,Large,"[32.740278, 129.865]","Port of Nagasaki, Seaport - Large"
1111,JPN,Nagoya,Port of Nagoya,35.045,136.848056,,Seaport,Very Large,"[35.045, 136.848056]","Port of Nagoya, Seaport - Very Large"
1117,JPN,Niigata,Port of Niigata,37.955,139.129444,JPKIJ,Seaport,Large,"[37.955, 139.129444]","Port of Niigata, Seaport - Large"
1118,JPN,Niihama,Port of Niihama,33.970833,133.265,JPIHA,Seaport,Large,"[33.970833, 133.265]","Port of Niihama, Seaport - Large"
1128,JPN,Osaka,Port of Osaka,34.635833,135.434167,JPOSA,Seaport,Large,"[34.635833, 135.434167]","Port of Osaka, Seaport - Large"
1148,JPN,Tokyo,Port of Tokyo,35.624722,139.791389,JPTYO,Seaport,Very Large,"[35.624722, 139.791389]","Port of Tokyo, Seaport - Very Large"
1157,JPN,Wakayama,Port of Wakayama,34.223056,135.133056,JPWAK,Seaport,Large,"[34.223056, 135.133056]","Port of Wakayama, Seaport - Large"
1163,JPN,Yokohama,Port of Yokohama,35.436389,139.667778,JPYOK,Seaport,Very Large,"[35.436389, 139.667778]","Port of Yokohama, Seaport - Very Large"
1179,PRK,Nampo,Port of Nampo,38.720278,125.395833,KPNAM,Seaport,Large,"[38.720278, 125.395833]","Port of Nampo, Seaport - Large"
